datetime,open,high,low,close,volume
2024-01-01 22:00:00,155.625,155.674,155.614,155.6275,126.16000378131866
2024-01-01 22:15:00,155.628,155.692,155.6015,155.67,384.7000094801188
2024-01-01 22:30:00,155.673,155.7205,155.622,155.6245,471.16000950336456
2024-01-01 22:45:00,155.623,155.63,155.602,155.618,183.2100032567978
2024-01-01 23:00:00,155.612,155.6575,155.4505,155.4505,3029.100033581257
2024-01-01 23:15:00,155.4515,155.578,155.4515,155.5745,4007.760004401207
2024-01-01 23:30:00,155.5745,155.605,155.529,155.596,4050.560052394867
2024-01-01 23:45:00,155.593,155.771,155.593,155.7475,5917.72007393837
2024-01-02 00:00:00,155.747,155.823,155.74,155.818,5090.810066342354
2024-01-02 00:15:00,155.818,156.0105,155.8025,155.936,6491.970090389252
2024-01-02 00:30:00,155.94,155.9695,155.87,155.914,4660.850068569183
2024-01-02 00:45:00,155.9195,155.9425,155.7955,155.8055,5477.840081334114
2024-01-02 01:00:00,155.8055,155.942,155.805,155.9215,7805.230065345764
2024-01-02 01:15:00,155.9195,156.044,155.9075,156.0335,5843.020073533058
2024-01-02 01:30:00,156.0335,156.14,155.9885,156.0545,7825.330103635788
2024-01-02 01:45:00,156.055,156.1275,156.055,156.0855,5399.560063719749
2024-01-02 02:00:00,156.0855,156.0975,155.9915,155.9975,4987.630052089691
2024-01-02 02:15:00,155.995,155.997,155.904,155.9275,4586.160051584244
2024-01-02 02:30:00,155.927,156.191,155.909,155.98,7354.01009452343
2024-01-02 02:45:00,155.98,156.0465,155.9495,155.993,7044.500092625618
2024-01-02 03:00:00,155.989,156.0555,155.987,156.012,6114.930066585541
2024-01-02 03:15:00,156.013,156.145,156.0055,156.1325,5900.760078310967
2024-01-02 03:30:00,156.1335,156.137,156.054,156.0925,5319.080050945282
2024-01-02 03:45:00,156.093,156.109,156.0015,156.0075,4401.330046415329
2024-01-02 04:00:00,156.008,156.0435,155.9545,156.034,5452.750035047531
2024-01-02 04:15:00,156.035,156.062,155.987,155.9885,4243.960046887398
2024-01-02 04:30:00,155.9885,156.012,155.9575,155.9915,4723.160065412521
2024-01-02 04:45:00,155.9925,156.001,155.9525,156.001,3884.34006524086
2024-01-02 05:00:00,156.0015,156.025,155.937,155.964,4747.670058250427
2024-01-02 05:15:00,155.9645,156.018,155.9465,155.9885,4676.830063343048
2024-01-02 05:30:00,155.9885,156.0365,155.9575,156.0275,4528.260048985481
2024-01-02 05:45:00,156.0265,156.0275,155.9255,155.961,4888.9500786066055
2024-01-02 06:00:00,155.9585,156.008,155.9485,156.005,5462.530089497566
2024-01-02 06:15:00,156.005,156.0315,155.949,155.99,5219.81006026268
2024-01-02 06:30:00,155.991,156.0765,155.9565,156.039,5340.580060601234
2024-01-02 06:45:00,156.039,156.133,156.024,156.089,6282.3800892829895
