datetime,open,high,low,close,volume
2024-01-01 22:00:00,179.3015,179.325,179.2875,179.3005,38.31000065803528
2024-01-01 22:15:00,179.301,179.42,179.2465,179.373,412.160010933876
2024-01-01 22:30:00,179.374,179.487,179.2775,179.3995,798.000013679266
2024-01-01 22:45:00,179.4055,179.4125,179.332,179.3635,510.4100090265274
2024-01-01 23:00:00,179.364,179.4355,179.279,179.3095,1850.7600296735764
2024-01-01 23:15:00,179.307,179.431,179.2955,179.428,2092.1100639104843
2024-01-01 23:30:00,179.428,179.447,179.369,179.4205,1319.9700429439545
2024-01-01 23:45:00,179.421,179.6345,179.4105,179.6125,2234.500064134598
2024-01-02 00:00:00,179.6135,179.69,179.5985,179.6805,1689.590053319931
2024-01-02 00:15:00,179.6815,179.8695,179.6625,179.7965,2215.0400570631027
2024-01-02 00:30:00,179.803,179.831,179.704,179.742,1741.1800484657288
2024-01-02 00:45:00,179.7435,179.7835,179.6095,179.615,2334.8600420951843
2024-01-02 01:00:00,179.6195,179.7695,179.6195,179.7505,3289.570083618164
2024-01-02 01:15:00,179.747,179.879,179.7265,179.8695,2634.0400692224503
2024-01-02 01:30:00,179.868,179.995,179.812,179.892,3666.580086350441
2024-01-02 01:45:00,179.8925,179.9735,179.8925,179.9255,1912.8600413799288
2024-01-02 02:00:00,179.924,179.9925,179.9095,179.9255,1749.1700347661972
2024-01-02 02:15:00,179.925,179.9265,179.866,179.887,1845.280045747757
2024-01-02 02:30:00,179.886,180.229,179.8695,179.8945,3617.040101647377
2024-01-02 02:45:00,179.893,180.003,179.8755,179.941,2704.860054731369
2024-01-02 03:00:00,179.9415,180.0285,179.929,179.973,2014.6400401592252
2024-01-02 03:15:00,179.9725,180.11,179.9525,180.1065,1979.300044298172
2024-01-02 03:30:00,180.11,180.11,180.0245,180.0585,1381.620038151741
2024-01-02 03:45:00,180.061,180.0965,179.965,179.974,1429.9700365066528
2024-01-02 04:00:00,179.976,180.0265,179.9055,180.0055,1503.1600420475006
2024-01-02 04:15:00,180.0035,180.024,179.9605,179.9615,826.750025510788
2024-01-02 04:30:00,179.9615,180.006,179.9475,179.984,1070.460021853447
