datetime,open,high,low,close,volume
2024-01-01 22:00:00,1.3238,1.32393,1.32374,1.323885,76.75000101327896
2024-01-01 22:15:00,1.323835,1.32539,1.323515,1.325215,142.55000096559525
2024-01-01 22:30:00,1.325205,1.32545,1.32453,1.324865,349.9600031375885
2024-01-01 22:45:00,1.32484,1.324885,1.32439,1.324425,244.4600068628788
2024-01-01 23:00:00,1.324425,1.324455,1.32407,1.32443,1291.8400160074234
2024-01-01 23:15:00,1.32443,1.324695,1.324405,1.32452,558.5000109672546
2024-01-01 23:30:00,1.324495,1.32477,1.324425,1.32466,1040.200019955635
2024-01-01 23:45:00,1.324685,1.324835,1.324385,1.32448,774.2600190639496
2024-01-02 00:00:00,1.32447,1.32454,1.32429,1.32439,801.1700133085251
2024-01-02 00:15:00,1.3244,1.32479,1.3243,1.32477,707.8500089645386
2024-01-02 00:30:00,1.32477,1.324805,1.324595,1.32468,233.71000683307648
2024-01-02 00:45:00,1.324665,1.324685,1.324405,1.324515,983.7600218057632
2024-01-02 01:00:00,1.324545,1.324545,1.32287,1.32359,3531.640065431595
2024-01-02 01:15:00,1.323565,1.323565,1.323175,1.323265,2792.5600467920303
2024-01-02 01:30:00,1.32327,1.32389,1.32327,1.32353,1439.8100348711014
2024-01-02 01:45:00,1.323485,1.32425,1.323285,1.324195,2223.7700337171555
2024-01-02 02:00:00,1.324195,1.324715,1.323955,1.324445,1341.210024476051
2024-01-02 02:15:00,1.32446,1.32479,1.324455,1.324765,675.1000118255615
2024-01-02 02:30:00,1.324755,1.325245,1.32472,1.325085,1468.6400289535522
2024-01-02 02:45:00,1.32511,1.32552,1.325065,1.32542,1402.5800219774246
2024-01-02 03:00:00,1.32541,1.325535,1.325055,1.325255,1314.7700238227844
2024-01-02 03:15:00,1.325235,1.32562,1.325205,1.325585,850.8000081777573
2024-01-02 03:30:00,1.32558,1.325665,1.32532,1.325445,1131.1500185728073
2024-01-02 03:45:00,1.325415,1.325675,1.32526,1.3256,372.750012755394
2024-01-02 04:00:00,1.32558,1.32568,1.325485,1.32568,262.3500088453293
2024-01-02 04:15:00,1.32567,1.32577,1.325635,1.325705,1058.920014500618
2024-01-02 04:30:00,1.32569,1.325735,1.32544,1.325735,1575.740013718605
2024-01-02 04:45:00,1.32573,1.325785,1.32551,1.32551,371.53000795841217
2024-01-02 05:00:00,1.325495,1.325665,1.32513,1.325295,1510.5100251436234
2024-01-02 05:15:00,1.3253,1.325525,1.325105,1.325285,1264.670023918152
2024-01-02 05:30:00,1.325285,1.325355,1.325,1.325005,1104.0800169706345
2024-01-02 05:45:00,1.325,1.325,1.323625,1.32364,2824.340033531189
2024-01-02 06:00:00,1.323645,1.324165,1.323635,1.324165,1223.6000262498856
2024-01-02 06:15:00,1.324155,1.324895,1.324155,1.324765,1083.5200307369232
2024-01-02 06:30:00,1.32478,1.32514,1.324605,1.325105,1256.8000237941742
2024-01-02 06:45:00,1.325095,1.32559,1.32498,1.325445,1089.850022315979
2024-01-02 07:00:00,1.325455,1.325505,1.324405,1.324455,3612.440064430237
2024-01-02 07:15:00,1.32446,1.32451,1.32386,1.324135,2625.600038766861
2024-01-02 07:30:00,1.324115,1.325215,1.323885,1.32519,1521.4600367546082
2024-01-02 07:45:00,1.32517,1.325355,1.32497,1.325135,3054.7900302410126
2024-01-02 08:00:00,1.32513,1.32517,1.32286,1.32308,3208.770071864128
2024-01-02 08:15:00,1.323115,1.3244,1.3231,1.32402,2356.7600622177124
2024-01-02 08:30:00,1.32403,1.324385,1.323765,1.324375,1672.110049366951
2024-01-02 08:45:00,1.32438,1.324595,1.324175,1.32418,1462.750042796135
2024-01-02 09:00:00,1.324185,1.324545,1.32416,1.32446,1632.5000400543213
2024-01-02 09:15:00,1.32446,1.324975,1.324445,1.324535,1441.200038909912
2024-01-02 09:30:00,1.32455,1.32508,1.32425,1.325025,2046.0900503396988
2024-01-02 09:45:00,1.32503,1.325405,1.32497,1.325345,1299.6200357675552
2024-01-02 10:00:00,1.325375,1.326155,1.325115,1.32595,2920.9200516939163
2024-01-02 10:15:00,1.325945,1.326325,1.325665,1.326325,1868.9600442647932
2024-01-02 10:30:00,1.326315,1.326315,1.32533,1.32533,2886.610036611557
2024-01-02 10:45:00,1.32532,1.32535,1.32486,1.325025,3650.900023937225
2024-01-02 11:00:00,1.325025,1.32546,1.324855,1.32537,4289.180046439171
2024-01-02 11:15:00,1.32535,1.326035,1.32529,1.32578,3511.6600403785706
2024-01-02 11:30:00,1.325785,1.32714,1.32577,1.32688,2473.200054764748
2024-01-02 11:45:00,1.3269,1.32691,1.32653,1.326815,2027.3800500631328
2024-01-02 12:00:00,1.326795,1.327595,1.32671,1.327465,2290.810053229332
2024-01-02 12:15:00,1.327475,1.328165,1.327475,1.3278,2830.660051226616
2024-01-02 12:30:00,1.327795,1.328255,1.327625,1.328255,3221.160060048104
2024-01-02 12:45:00,1.328285,1.329125,1.32814,1.329105,3004.8800472021103
2024-01-02 13:00:00,1.32912,1.33002,1.32896,1.329975,5921.700092315674
2024-01-02 13:15:00,1.329965,1.330905,1.329635,1.33072,3705.010071992874
2024-01-02 13:30:00,1.33072,1.330825,1.329115,1.32946,6892.770039439201
2024-01-02 13:45:00,1.329455,1.330685,1.32942,1.329965,3529.0800589323044
2024-01-02 14:00:00,1.32997,1.331365,1.32995,1.33098,5963.31009888649
2024-01-02 14:15:00,1.33098,1.33197,1.33087,1.33185,3960.36007642746
2024-01-02 14:30:00,1.33186,1.33239,1.331235,1.3318,9281.800147891045
2024-01-02 14:45:00,1.33176,1.3329,1.33161,1.33164,6486.190138339996
2024-01-02 15:00:00,1.33165,1.33265,1.33106,1.3325,8062.810165882111
2024-01-02 15:15:00,1.332505,1.33277,1.33173,1.331955,6638.180155992508
2024-01-02 15:30:00,1.331995,1.332615,1.331185,1.33227,9746.520176053047
2024-01-02 15:45:00,1.332285,1.332435,1.331215,1.33126,8632.92014682293
2024-01-02 16:00:00,1.331265,1.331525,1.330055,1.33087,10027.030122637749
2024-01-02 16:15:00,1.330865,1.331535,1.330715,1.331355,6121.48007953167
