datetime,open,high,low,close,volume
2024-01-01 22:00:00,0.867965,0.867985,0.8678,0.8679,96.50000178813934
2024-01-01 22:15:00,0.8679,0.868065,0.86771,0.867825,372.91000950336456
2024-01-01 22:30:00,0.86779,0.86829,0.86742,0.867425,898.7000195980072
2024-01-01 22:45:00,0.867415,0.867715,0.86731,0.867695,302.8500081896782
2024-01-01 23:00:00,0.86772,0.86772,0.86689,0.86692,1346.1900322437286
2024-01-01 23:15:00,0.866925,0.86722,0.86692,0.86695,921.8600273132324
2024-01-01 23:30:00,0.866945,0.867155,0.86692,0.86714,647.9200171232224
2024-01-01 23:45:00,0.867155,0.867245,0.86698,0.86708,685.5000185966492
2024-01-02 00:00:00,0.867075,0.86723,0.867005,0.86714,848.1800180673599
2024-01-02 00:15:00,0.867145,0.867325,0.86705,0.867265,432.9700037240982
2024-01-02 00:30:00,0.867275,0.86743,0.86722,0.867405,659.720008969307
2024-01-02 00:45:00,0.86741,0.86743,0.867275,0.86738,718.0700113773346
2024-01-02 01:00:00,0.867385,0.867495,0.867275,0.867445,986.720008969307
2024-01-02 01:15:00,0.86744,0.86761,0.867355,0.867465,899.5600191354752
2024-01-02 01:30:00,0.86747,0.867565,0.86738,0.867455,1475.0000207424164
2024-01-02 01:45:00,0.86746,0.867535,0.86743,0.86748,744.500009059906
2024-01-02 02:00:00,0.86748,0.867485,0.866975,0.866975,818.1600118875504
2024-01-02 02:15:00,0.866975,0.866975,0.8667,0.866735,684.92001080513
2024-01-02 02:30:00,0.866735,0.867135,0.86659,0.867025,1247.8900218009949
2024-01-02 02:45:00,0.86702,0.86707,0.866825,0.86688,991.7600138187408
2024-01-02 03:00:00,0.866875,0.866955,0.86674,0.866805,793.7300109863281
2024-01-02 03:15:00,0.86681,0.86695,0.86681,0.86688,659.8800185918808
2024-01-02 03:30:00,0.86686,0.86687,0.86674,0.866855,650.8400099277496
2024-01-02 03:45:00,0.866845,0.867085,0.866705,0.8668,721.3000066280365
2024-01-02 04:00:00,0.866795,0.86691,0.86672,0.866795,609.5700072050095
2024-01-02 04:15:00,0.86679,0.866925,0.86673,0.86676,526.090009689331
2024-01-02 04:30:00,0.86675,0.86675,0.8666,0.866625,430.2700070142746
2024-01-02 04:45:00,0.86664,0.86682,0.86663,0.8668,597.0600084066391
2024-01-02 05:00:00,0.866805,0.866835,0.8666,0.866665,1090.2700154781342
2024-01-02 05:15:00,0.866655,0.86669,0.866575,0.86661,734.8900148868561
2024-01-02 05:30:00,0.866615,0.866665,0.86642,0.866475,698.0900138616562
2024-01-02 05:45:00,0.86648,0.866485,0.86586,0.866245,1118.6900222301483
2024-01-02 06:00:00,0.86623,0.86654,0.86623,0.86636,642.7100120782852
2024-01-02 06:15:00,0.866365,0.86652,0.866315,0.86633,753.7000187635422
2024-01-02 06:30:00,0.86634,0.86649,0.866315,0.866475,807.2300063371658
